name,symbol,price,change_1h,change_24h,change_7d,market_cap,volume_24h,cmc_rank,slug,url
Celestia,TIA,0.372165,0.5103183,-1.11121443,-6.31976938,342366991.59921956,32415594.16428283,95,celestia,https://coinmarketcap.com/currencies/celestia/
Sun [New],SUN,0.017266,0.15708967,-0.03547659,1.78171042,332041060.40704286,61739571.74382222,96,sun-token,https://coinmarketcap.com/currencies/sun-token/
LayerZero,ZRO,0.938885,-0.11656433,-0.50725523,-11.59568981,331025421.4913625,24841599.84566378,97,layerzero,https://coinmarketcap.com/currencies/layerzero/
SPX6900,SPX,0.350752,0.96070412,0.85275619,-21.28427008,326548147.6064606,8595980.52189705,98,spx6900,https://coinmarketcap.com/currencies/spx6900/
Jito,JTO,0.669064,0.19588061,3.39159798,-13.10514454,325611542.83513474,50824572.25351933,99,jito,https://coinmarketcap.com/currencies/jito/
ether.fi,ETHFI,0.348724,1.18717028,8.02001024,3.46947464,323394751.26225257,35341443.36291777,100,ether-fi-ethfi,https://coinmarketcap.com/currencies/ether-fi-ethfi/
Stacks,STX,0.175304,0.07126666,-0.02777302,-7.9597638,318108350.8756548,4993954.55007894,101,stacks,https://coinmarketcap.com/currencies/stacks/
SKYAI,SKYAI,0.308468,0.35303875,-7.99917505,-23.13602341,308468201.49539006,17647071.74770138,102,skyai,https://coinmarketcap.com/currencies/skyai/
Curve DAO Token,CRV,0.198306,-0.34104273,-2.82737338,-19.00226286,301012919.4715464,26491904.35788445,103,curve-dao-token,https://coinmarketcap.com/currencies/curve-dao-token/
Kite,KITE,0.16216,0.17344869,2.78941467,-11.29306278,291887321.523739,24714678.77516609,104,kite,https://coinmarketcap.com/currencies/kite/
Gnosis,GNO,106.623439,-0.47007247,2.23201612,1.09228509,281433686.4149292,2315872.24863407,105,gnosis-gno,https://coinmarketcap.com/currencies/gnosis-gno/
Pyth Network,PYTH,0.035239,-0.1585428,1.97870576,-8.60739945,277504406.44011986,10070710.05271475,106,pyth-network,https://coinmarketcap.com/currencies/pyth-network/
Immutable,IMX,0.137757,-0.04670757,5.37132404,-5.44386511,275514631.8939851,11771087.69608864,107,immutable-x,https://coinmarketcap.com/currencies/immutable-x/
